t  	||u||(t)    	e(t)
3.0        	0           		0
3.0        	0.013501004943327663           		0
3.0        	0.026368145982432513           		0
3.0        	0.044539768755621455           		0
3.0        	0.044539768755621455           		0.7621064946562711
3.0        	0.044539768755621455           		0.774348602508489
3.0        	0.044539768755621455           		0.774348602508489
3.0        	0.044539768755621455           		0.774348602508489
3.0        	0.044539768755621455           		0.774348602508489
3.0        	0.044539768755621455           		0.774348602508489
3.0        	0.044539768755621455           		0.774348602508489
3.1        	0           		0
3.1        	0.01152246500069423           		0
3.1        	0.02548069092953724           		0
3.1        	0.04078541098097896           		0
3.1        	0.04078541098097896           		0.7200542377824845
3.1        	0.04078541098097896           		0.7278258492290609
3.1        	0.04078541098097896           		0.7278258492290609
3.1        	0.04078541098097896           		0.7278258492290609
3.1        	0.04551520927807196           		0.7278258492290609
3.1        	0.04551520927807196           		0.7278258492290609
3.1        	0.04551520927807196           		0.7278258492290609
3.2        	0           		0
3.2        	0.009252552815424897           		0
3.2        	0.02159872353484198           		0
3.2        	0.0335690166101821           		0
3.2        	0.0335690166101821           		0.6074001045416514
3.2        	0.0335690166101821           		0.6100158248665221
3.2        	0.0335690166101821           		0.6100158248665221
3.2        	0.04079232983178647           		0.6100158248665221
3.2        	0.046740452207146906           		0.6100158248665221
3.2        	0.046740452207146906           		0.6100158248665221
3.2        	0.046740452207146906           		0.6100158248665221
3.3000000000000003        	0           		0
3.3000000000000003        	0.007605438282059066           		0
3.3000000000000003        	0.016384536489043644           		0
3.3000000000000003        	0.023078461493678235           		0
3.3000000000000003        	0.023078461493678235           		0.43513879798527894
3.3000000000000003        	0.023078461493678235           		0.43513879798527894
3.3000000000000003        	0.028890678784158207           		0.43513879798527894
3.3000000000000003        	0.042405912477913275           		0.43513879798527894
3.3000000000000003        	0.04338858914385203           		0.43513879798527894
3.3000000000000003        	0.04338858914385203           		0.43513879798527894
3.3000000000000003        	0.04338858914385203           		0.43513879798527894
3.4000000000000004        	0           		0
3.4000000000000004        	0.005020747758829195           		0
3.4000000000000004        	0.009968443182666589           		0
3.4000000000000004        	0.010041379714564237           		0
3.4000000000000004        	0.010041379714564237           		0.22032904360973715
3.4000000000000004        	0.018992164019496768           		0.22032904360973715
3.4000000000000004        	0.033368434079329115           		0.22032904360973715
3.4000000000000004        	0.03986526795378168           		0.22032904360973715
3.4000000000000004        	0.03986526795378168           		0.22032904360973715
3.4000000000000004        	0.03986526795378168           		0.22032904360973715
3.4000000000000004        	0.03986526795378168           		0.22032904360973715
3.5        	0           		0
3.5        	0.0010625836541411455           		0
3.5        	0.0022019590158102887           		0
3.5        	0.004019340130723495           		0
3.5        	0.015964189563662662           		0
3.5        	0.027863000814089513           		0
3.5        	0.03458034954982412           		0
3.5        	0.03458034954982412           		0.033419468037794435
3.5        	0.03458034954982412           		0.033419468037794435
3.5        	0.03458034954982412           		0.033419468037794435
3.5        	0.03458034954982412           		0.033419468037794435
3.6        	0           		0
3.6        	0.0030404522494230286           		0
3.6        	0.006057931006280046           		0
3.6        	0.01753559856730543           		0
3.6        	0.02821810675337541           		0
3.6        	0.034022902761796654           		0
3.6        	0.034022902761796654           		0.2548911923416292
3.6        	0.034022902761796654           		0.2548911923416292
3.6        	0.034022902761796654           		0.2548911923416292
3.6        	0.034022902761796654           		0.2548911923416292
3.6        	0.034022902761796654           		0.2548911923416292
3.7        	0           		0
3.7        	0.006367975818629451           		0
3.7        	0.013558335511159826           		0
3.7        	0.029295985268914776           		0
3.7        	0.03775530740095657           		0
3.7        	0.03775530740095657           		0.4776791583371752
3.7        	0.03775530740095657           		0.4776791583371752
3.7        	0.03775530740095657           		0.4776791583371752
3.7        	0.03775530740095657           		0.4776791583371752
3.7        	0.03775530740095657           		0.4776791583371752
3.7        	0.03775530740095657           		0.4776791583371752
3.8000000000000003        	0           		0
3.8000000000000003        	0.008974790542036079           		0
3.8000000000000003        	0.019555736088585865           		0
3.8000000000000003        	0.03826569844107236           		0
3.8000000000000003        	0.04359299803630807           		0
3.8000000000000003        	0.04359299803630807           		0.642804568688241
3.8000000000000003        	0.04359299803630807           		0.642804568688241
3.8000000000000003        	0.04359299803630807           		0.642804568688241
3.8000000000000003        	0.04359299803630807           		0.642804568688241
3.8000000000000003        	0.04359299803630807           		0.642804568688241
3.8000000000000003        	0.04359299803630807           		0.642804568688241
3.9000000000000004        	0           		0
3.9000000000000004        	0.010948426835653067           		0
3.9000000000000004        	0.023705703234413775           		0
3.9000000000000004        	0.043519460986105894           		0
3.9000000000000004        	0.04513937183708399           		0
3.9000000000000004        	0.04513937183708399           		0.7450131983273487
3.9000000000000004        	0.04513937183708399           		0.7450131983273487
3.9000000000000004        	0.04513937183708399           		0.7450131983273487
3.9000000000000004        	0.04513937183708399           		0.7450131983273487
3.9000000000000004        	0.04513937183708399           		0.7450131983273487
3.9000000000000004        	0.04513937183708399           		0.7450131983273487
4.0        	0           		0
4.0        	0.011939548124570048           		0
4.0        	0.025639835857229978           		0
4.0        	0.044475126865332504           		0
4.0        	0.044475126865332504           		0.762266898269329
4.0        	0.044475126865332504           		0.774300092463254
4.0        	0.044475126865332504           		0.774300092463254
4.0        	0.044475126865332504           		0.774300092463254
4.0        	0.044475126865332504           		0.774300092463254
4.0        	0.044475126865332504           		0.774300092463254
4.0        	0.044475126865332504           		0.774300092463254
4.1000000000000005        	0           		0
4.1000000000000005        	0.011642263662449146           		0
4.1000000000000005        	0.025041700933964954           		0
4.1000000000000005        	0.0410571731016889           		0
4.1000000000000005        	0.0410571731016889           		0.720030313522008
4.1000000000000005        	0.0410571731016889           		0.7277907837828922
4.1000000000000005        	0.0410571731016889           		0.7277907837828922
4.1000000000000005        	0.0410571731016889           		0.7277907837828922
4.1000000000000005        	0.04551574671104415           		0.7277907837828922
4.1000000000000005        	0.04551574671104415           		0.7277907837828922
4.1000000000000005        	0.04551574671104415           		0.7277907837828922
4.2        	0           		0
4.2        	0.010140456204686255           		0
4.2        	0.02193287119758171           		0
4.2        	0.033638499539651           		0
4.2        	0.033638499539651           		0.6073134365844971
4.2        	0.033638499539651           		0.6100373134502071
4.2        	0.033638499539651           		0.6100373134502071
4.2        	0.040795711957634435           		0.6100373134502071
4.2        	0.046739632298509914           		0.6100373134502071
4.2        	0.046739632298509914           		0.6100373134502071
4.2        	0.046739632298509914           		0.6100373134502071
4.3        	0           		0
4.3        	0.007701354679956375           		0
4.3        	0.016681679165768022           		0
4.3        	0.022939712484313774           		0
4.3        	0.022939712484313774           		0.43514204187442895
4.3        	0.022939712484313774           		0.43514204187442895
4.3        	0.02889864353374862           		0.43514204187442895
4.3        	0.04240509125925966           		0.43514204187442895
4.3        	0.043388272819749045           		0.43514204187442895
4.3        	0.043388272819749045           		0.43514204187442895
4.3        	0.043388272819749045           		0.43514204187442895
4.4        	0           		0
4.4        	0.004550572950779626           		0
4.4        	0.009830058817636302           		0
4.4        	0.009987025004920762           		0
4.4        	0.009987025004920762           		0.22037466839559428
4.4        	0.01900129175278203           		0.22037466839559428
